"","PLAYER_NAME","SHOT_DISTANCE","PERIOD","Shot_Quantity","Made_Quantity","Percentage"
"1","Aaron Brooks",0,1,10,7,0.7
"2","Aaron Brooks",0,2,11,6,0.545454545454545
"3","Aaron Brooks",0,3,7,3,0.428571428571429
"4","Aaron Brooks",0,4,9,4,0.444444444444444
"5","Aaron Gordon",0,1,11,11,1
"6","Aaron Gordon",0,2,11,8,0.727272727272727
"7","Aaron Gordon",0,3,10,6,0.6
"8","Aaron Gordon",0,4,11,9,0.818181818181818
"9","Aaron Gordon",0,5,1,1,1
"10","Adreian Payne",0,1,5,4,0.8
"11","Adreian Payne",0,2,7,4,0.571428571428571
"12","Adreian Payne",0,3,11,8,0.727272727272727
"13","Adreian Payne",0,4,5,3,0.6
"14","Al Horford",0,1,35,28,0.8
"15","Al Horford",0,2,38,33,0.868421052631579
"16","Al Horford",0,3,34,30,0.882352941176471
"17","Al Horford",0,4,31,27,0.870967741935484
"18","Al Jefferson",0,1,24,21,0.875
"19","Al Jefferson",0,2,16,8,0.5
"20","Al Jefferson",0,3,19,10,0.526315789473684
"21","Al Jefferson",0,4,20,15,0.75
"22","Al-Farouq Aminu",0,1,18,13,0.722222222222222
"23","Al-Farouq Aminu",0,2,22,17,0.772727272727273
"24","Al-Farouq Aminu",0,3,12,10,0.833333333333333
"25","Al-Farouq Aminu",0,4,17,15,0.882352941176471
"26","Alan Anderson",0,1,6,6,1
"27","Alan Anderson",0,2,7,5,0.714285714285714
"28","Alan Anderson",0,3,3,3,1
"29","Alan Anderson",0,4,9,8,0.888888888888889
"30","Alec Burks",0,1,12,9,0.75
"31","Alec Burks",0,2,2,2,1
"32","Alec Burks",0,3,2,2,1
"33","Alec Burks",0,4,5,1,0.2
"34","Alex Len",0,1,33,27,0.818181818181818
"35","Alex Len",0,2,25,22,0.88
"36","Alex Len",0,3,27,24,0.888888888888889
"37","Alex Len",0,4,13,9,0.692307692307692
"38","Alexis Ajinca",0,1,4,3,0.75
"39","Alexis Ajinca",0,2,17,13,0.764705882352941
"40","Alexis Ajinca",0,3,12,8,0.666666666666667
"41","Alexis Ajinca",0,4,11,9,0.818181818181818
"42","Allen Crabbe",0,1,2,1,0.5
"43","Allen Crabbe",0,2,14,12,0.857142857142857
"44","Allen Crabbe",0,3,3,3,1
"45","Allen Crabbe",0,4,2,2,1
"46","Alonzo Gee",0,2,8,6,0.75
"47","Alonzo Gee",0,3,14,12,0.857142857142857
"48","Alonzo Gee",0,4,28,25,0.892857142857143
"49","Amar'e Stoudemire",0,1,26,21,0.807692307692308
"50","Amar'e Stoudemire",0,2,31,27,0.870967741935484
"51","Amar'e Stoudemire",0,3,26,23,0.884615384615385
"52","Amar'e Stoudemire",0,4,21,17,0.80952380952381
"53","Amir Johnson",0,1,21,17,0.80952380952381
