"","SHOT_DISTANCE","Type","Shot_Quantity","Made_Quantity"
"1",0,"Alley Oop Dunk Shot",1323,1205
"2",0,"Alley Oop Layup shot",175,134
"3",0,"Driving Bank Hook Shot",1,1
"4",0,"Driving Bank shot",1,1
"5",0,"Driving Dunk Shot",892,811
"6",0,"Driving Finger Roll Layup Shot",281,246
"7",0,"Driving Hook Shot",3,2
"8",0,"Driving Jump shot",5,3
"9",0,"Driving Layup Shot",2490,1976
"10",0,"Driving Reverse Layup Shot",224,174
"11",0,"Driving Slam Dunk Shot",582,559
"12",0,"Dunk Shot",3512,3102
"13",0,"Finger Roll Layup Shot",133,109
"14",0,"Floating Jump shot",1,0
"15",0,"Hook Shot",34,22
"16",0,"Jump Bank Shot",2,1
"17",0,"Jump Hook Shot",9,7
"18",0,"Jump Shot",1,0
"19",0,"Layup Shot",6252,3697
"20",0,"Putback Dunk Shot",562,490
"21",0,"Putback Layup Shot",442,374
"22",0,"Putback Slam Dunk Shot",151,143
"23",0,"Reverse Dunk Shot",116,103
"24",0,"Reverse Layup Shot",540,395
"25",0,"Reverse Slam Dunk Shot",37,36
"26",0,"Running Dunk Shot",217,206
"27",0,"Running Finger Roll Layup Shot",38,35
"28",0,"Running Hook Shot",3,3
"29",0,"Running Jump Shot",2,1
"30",0,"Running Layup Shot",225,194
"31",0,"Running Reverse Layup Shot",24,21
"32",0,"Running Slam Dunk Shot",199,197
"33",0,"Running Tip Shot",25,19
"34",0,"Slam Dunk Shot",1542,1498
"35",0,"Tip Shot",1653,851
"36",0,"Turnaround Bank Hook Shot",1,1
"37",0,"Turnaround Hook Shot",1,1
"38",0,"Turnaround Jump Shot",1,1
"39",1,"Alley Oop Dunk Shot",25,15
"40",1,"Alley Oop Layup shot",300,216
"41",1,"Driving Bank shot",6,5
"42",1,"Driving Dunk Shot",23,16
"43",1,"Driving Finger Roll Layup Shot",473,399
"44",1,"Driving Hook Shot",10,8
"45",1,"Driving Jump shot",20,12
"46",1,"Driving Layup Shot",4814,3469
"47",1,"Driving Reverse Layup Shot",538,375
"48",1,"Driving Slam Dunk Shot",5,5
"49",1,"Dunk Shot",21,15
"50",1,"Fadeaway Jump Shot",1,0
"51",1,"Finger Roll Layup Shot",178,132
"52",1,"Floating Jump shot",8,5
"53",1,"Hook Bank Shot",2,2
"54",1,"Hook Shot",67,39
"55",1,"Jump Bank Shot",2,2
"56",1,"Jump Hook Shot",19,16
"57",1,"Jump Shot",17,8
"58",1,"Layup Shot",9905,5038
"59",1,"Pullup Bank shot",1,0
"60",1,"Pullup Jump shot",1,0
"61",1,"Putback Dunk Shot",3,2
"62",1,"Putback Layup Shot",519,409
"63",1,"Putback Slam Dunk Shot",3,1
"64",1,"Reverse Dunk Shot",1,1
"65",1,"Reverse Layup Shot",918,597
"66",1,"Reverse Slam Dunk Shot",1,0
"67",1,"Running Bank Hook Shot",2,1
"68",1,"Running Bank shot",3,3
"69",1,"Running Dunk Shot",1,1
"70",1,"Running Finger Roll Layup Shot",40,33
"71",1,"Running Hook Shot",5,3
"72",1,"Running Jump Shot",4,2
"73",1,"Running Layup Shot",507,347
"74",1,"Running Reverse Layup Shot",73,56
"75",1,"Running Slam Dunk Shot",2,1
"76",1,"Running Tip Shot",28,21
"77",1,"Slam Dunk Shot",9,9
"78",1,"Tip Shot",1587,711
"79",1,"Turnaround Bank Hook Shot",1,1
"80",1,"Turnaround Hook Shot",16,13
"81",1,"Turnaround Jump Shot",1,1
"82",2,"Alley Oop Dunk Shot",8,6
"83",2,"Alley Oop Layup shot",175,103
"84",2,"Driving Bank Hook Shot",1,1
"85",2,"Driving Bank shot",22,15
"86",2,"Driving Dunk Shot",8,5
"87",2,"Driving Finger Roll Layup Shot",342,255
"88",2,"Driving Hook Shot",26,15
"89",2,"Driving Jump shot",44,24
"90",2,"Driving Layup Shot",3439,2131
"91",2,"Driving Reverse Layup Shot",286,160
"92",2,"Driving Slam Dunk Shot",1,1
"93",2,"Dunk Shot",17,4
"94",2,"Fadeaway Jump Shot",4,1
"95",2,"Finger Roll Layup Shot",165,115
"96",2,"Floating Jump shot",9,3
"97",2,"Hook Bank Shot",8,7
"98",2,"Hook Shot",161,89
"99",2,"Jump Bank Hook Shot",1,1
"100",2,"Jump Bank Shot",18,16
"101",2,"Jump Hook Shot",45,33
"102",2,"Jump Shot",43,16
"103",2,"Layup Shot",7671,2870
"104",2,"Putback Dunk Shot",4,1
"105",2,"Putback Layup Shot",266,195
"106",2,"Putback Slam Dunk Shot",1,1
"107",2,"Reverse Dunk Shot",1,1
"108",2,"Reverse Layup Shot",533,308
"109",2,"Running Bank shot",16,12
"110",2,"Running Dunk Shot",1,0
"111",2,"Running Finger Roll Layup Shot",36,31
"112",2,"Running Hook Shot",29,12
"113",2,"Running Jump Shot",25,14
"114",2,"Running Layup Shot",492,272
"115",2,"Running Reverse Layup Shot",38,24
"116",2,"Running Tip Shot",13,8
"117",2,"Slam Dunk Shot",3,3
"118",2,"Tip Shot",621,207
"119",2,"Turnaround Bank Hook Shot",2,2
"120",2,"Turnaround Bank shot",5,5
"121",2,"Turnaround Hook Shot",39,27
"122",2,"Turnaround Jump Shot",13,5
"123",3,"Alley Oop Dunk Shot",1,1
"124",3,"Alley Oop Layup shot",22,11
"125",3,"Driving Bank Hook Shot",3,3
"126",3,"Driving Bank shot",61,52
"127",3,"Driving Dunk Shot",1,1
"128",3,"Driving Finger Roll Layup Shot",90,59
"129",3,"Driving Hook Shot",55,33
"130",3,"Driving Jump shot",310,123
"131",3,"Driving Layup Shot",613,310
"132",3,"Driving Reverse Layup Shot",21,11
"133",3,"Dunk Shot",1,1
"134",3,"Fadeaway Jump Shot",6,5
"135",3,"Finger Roll Layup Shot",38,26
"136",3,"Floating Jump shot",140,86
"137",3,"Hook Bank Shot",17,14
"138",3,"Hook Shot",431,211
"139",3,"Jump Bank Hook Shot",4,3
"140",3,"Jump Bank Shot",103,72
"141",3,"Jump Hook Shot",119,85
"142",3,"Jump Shot",2747,480
"143",3,"Layup Shot",696,245
"144",3,"Pullup Bank shot",3,2
"145",3,"Pullup Jump shot",10,6
"146",3,"Putback Dunk Shot",2,0
"147",3,"Putback Layup Shot",34,19
"148",3,"Reverse Layup Shot",44,19
"149",3,"Running Bank shot",69,54
"150",3,"Running Finger Roll Layup Shot",7,4
"151",3,"Running Hook Shot",85,47
"152",3,"Running Jump Shot",280,112
"153",3,"Running Layup Shot",107,39
"154",3,"Running Reverse Layup Shot",6,2
"155",3,"Slam Dunk Shot",1,1
"156",3,"Tip Shot",100,25
"157",3,"Turnaround Bank Hook Shot",6,5
"158",3,"Turnaround Bank shot",15,12
"159",3,"Turnaround Fadeaway shot",2,1
"160",3,"Turnaround Hook Shot",70,45
"161",3,"Turnaround Jump Shot",79,44
"162",4,"Alley Oop Layup shot",1,0
"163",4,"Driving Bank Hook Shot",8,6
"164",4,"Driving Bank shot",63,47
"165",4,"Driving Finger Roll Layup Shot",16,9
"166",4,"Driving Hook Shot",70,33
"167",4,"Driving Jump shot",252,92
