"","PLAYER_NAME","SHOT_DISTANCE","Type","Shot_Quantity","Made_Quantity"
"1","Aaron Brooks",0,"Driving Finger Roll Layup Shot",1,1
"2","Aaron Brooks",0,"Driving Layup Shot",18,15
"3","Aaron Brooks",0,"Layup Shot",16,4
"4","Aaron Brooks",0,"Running Layup Shot",1,0
"5","Aaron Brooks",0,"Tip Shot",1,0
"6","Aaron Brooks",1,"Driving Finger Roll Layup Shot",2,2
"7","Aaron Brooks",1,"Driving Layup Shot",27,22
"8","Aaron Brooks",1,"Driving Reverse Layup Shot",4,2
"9","Aaron Brooks",1,"Finger Roll Layup Shot",1,1
"10","Aaron Brooks",1,"Floating Jump shot",1,1
"11","Aaron Brooks",1,"Layup Shot",26,8
"12","Aaron Brooks",1,"Putback Layup Shot",1,0
"13","Aaron Brooks",1,"Reverse Layup Shot",3,3
"14","Aaron Brooks",1,"Running Layup Shot",14,6
"15","Aaron Brooks",1,"Running Reverse Layup Shot",6,6
"16","Aaron Brooks",1,"Running Tip Shot",1,0
"17","Aaron Brooks",1,"Tip Shot",1,0
"18","Aaron Brooks",2,"Driving Finger Roll Layup Shot",1,0
"19","Aaron Brooks",2,"Driving Jump shot",1,1
"20","Aaron Brooks",2,"Driving Layup Shot",28,19
"21","Aaron Brooks",2,"Layup Shot",29,10
"22","Aaron Brooks",2,"Reverse Layup Shot",3,2
"23","Aaron Brooks",2,"Running Finger Roll Layup Shot",1,1
"24","Aaron Brooks",2,"Running Jump Shot",1,1
"25","Aaron Brooks",2,"Running Layup Shot",25,7
"26","Aaron Brooks",2,"Running Reverse Layup Shot",5,2
"27","Aaron Brooks",3,"Driving Finger Roll Layup Shot",1,0
"28","Aaron Brooks",3,"Driving Layup Shot",9,5
"29","Aaron Brooks",3,"Driving Reverse Layup Shot",1,0
"30","Aaron Brooks",3,"Jump Shot",9,2
"31","Aaron Brooks",3,"Layup Shot",4,0
"32","Aaron Brooks",3,"Running Jump Shot",3,0
"33","Aaron Brooks",3,"Running Layup Shot",8,2
"34","Aaron Brooks",3,"Running Reverse Layup Shot",1,0
"35","Aaron Brooks",4,"Driving Jump shot",1,0
"36","Aaron Brooks",4,"Driving Layup Shot",3,2
"37","Aaron Brooks",4,"Floating Jump shot",3,0
"38","Aaron Brooks",4,"Jump Bank Shot",2,2
"39","Aaron Brooks",4,"Jump Shot",5,1
"40","Aaron Brooks",4,"Running Bank shot",1,0
"41","Aaron Brooks",4,"Running Jump Shot",4,2
"42","Aaron Brooks",4,"Running Layup Shot",1,0
"43","Aaron Brooks",5,"Driving Hook Shot",1,0
"44","Aaron Brooks",5,"Floating Jump shot",8,2
"45","Aaron Brooks",5,"Hook Shot",1,0
"46","Aaron Brooks",5,"Jump Shot",6,3
"47","Aaron Brooks",5,"Running Jump Shot",4,4
"48","Aaron Brooks",6,"Floating Jump shot",5,2
"49","Aaron Brooks",6,"Jump Shot",7,1
"50","Aaron Brooks",6,"Pullup Jump shot",1,1
"51","Aaron Brooks",6,"Running Bank shot",2,2
"52","Aaron Brooks",6,"Running Hook Shot",1,0
"53","Aaron Brooks",6,"Running Jump Shot",3,3
"54","Aaron Brooks",7,"Floating Jump shot",7,2
"55","Aaron Brooks",7,"Jump Shot",8,2
"56","Aaron Brooks",7,"Running Bank shot",1,1
"57","Aaron Brooks",7,"Running Hook Shot",1,1
"58","Aaron Brooks",7,"Running Jump Shot",3,1
"59","Aaron Brooks",8,"Driving Hook Shot",1,1
"60","Aaron Brooks",8,"Driving Jump shot",2,1
"61","Aaron Brooks",8,"Floating Jump shot",4,2
"62","Aaron Brooks",8,"Jump Bank Shot",1,1
"63","Aaron Brooks",8,"Jump Shot",6,3
"64","Aaron Brooks",8,"Running Bank shot",2,2
"65","Aaron Brooks",8,"Running Hook Shot",1,0
"66","Aaron Brooks",8,"Step Back Jump shot",1,0
"67","Aaron Brooks",9,"Floating Jump shot",3,1
"68","Aaron Brooks",9,"Hook Shot",2,1
