"","PLAYER_NAME","MINUTES_REMAINING","PERIOD","Shot_Quantity","Made_Quantity","Percentage"
"1","Aaron Brooks",0,1,39,14,0.358974358974359
"2","Aaron Brooks",0,2,17,5,0.294117647058824
"3","Aaron Brooks",0,3,36,11,0.305555555555556
"4","Aaron Brooks",0,4,19,7,0.368421052631579
"5","Aaron Brooks",0,5,1,0,0
"6","Aaron Brooks",0,6,2,1,0.5
"7","Aaron Gordon",0,1,4,2,0.5
"8","Aaron Gordon",0,2,2,0,0
"9","Aaron Gordon",0,3,5,2,0.4
"10","Aaron Gordon",0,4,2,0,0
"11","Adreian Payne",0,1,4,3,0.75
"12","Adreian Payne",0,2,1,0,0
"13","Adreian Payne",0,3,4,1,0.25
"14","Adreian Payne",0,4,4,1,0.25
"15","Al Horford",0,1,8,4,0.5
"16","Al Horford",0,2,32,15,0.46875
"17","Al Horford",0,3,18,10,0.555555555555556
"18","Al Horford",0,4,14,6,0.428571428571429
"19","Al Horford",0,5,1,0,0
"20","Al Jefferson",0,1,5,3,0.6
"21","Al Jefferson",0,2,26,16,0.615384615384615
"22","Al Jefferson",0,3,3,3,1
"23","Al Jefferson",0,4,16,9,0.5625
"24","Al Jefferson",0,6,2,0,0
"25","Al-Farouq Aminu",0,1,15,6,0.4
"26","Al-Farouq Aminu",0,2,3,2,0.666666666666667
"27","Al-Farouq Aminu",0,3,15,6,0.4
"28","Al-Farouq Aminu",0,4,12,4,0.333333333333333
"29","Al-Farouq Aminu",0,6,2,0,0
"30","Alan Anderson",0,1,22,8,0.363636363636364
"31","Alan Anderson",0,2,6,1,0.166666666666667
"32","Alan Anderson",0,3,13,7,0.538461538461538
"33","Alan Anderson",0,4,5,2,0.4
"34","Alec Burks",0,1,9,4,0.444444444444444
"35","Alec Burks",0,2,4,1,0.25
"36","Alec Burks",0,3,10,7,0.7
"37","Alec Burks",0,4,10,4,0.4
"38","Alex Len",0,1,4,3,0.75
"39","Alex Len",0,2,5,3,0.6
"40","Alex Len",0,3,8,6,0.75
"41","Alex Len",0,4,1,0,0
"42","Alexis Ajinca",0,1,12,4,0.333333333333333
"43","Alexis Ajinca",0,2,5,2,0.4
"44","Alexis Ajinca",0,3,7,4,0.571428571428571
"45","Alexis Ajinca",0,4,3,3,1
"46","Allen Crabbe",0,1,1,1,1
"47","Allen Crabbe",0,2,4,1,0.25
"48","Allen Crabbe",0,3,4,1,0.25
"49","Allen Crabbe",0,4,7,4,0.571428571428571
"50","Alonzo Gee",0,1,3,0,0
"51","Alonzo Gee",0,2,7,3,0.428571428571429
"52","Alonzo Gee",0,3,7,2,0.285714285714286
"53","Alonzo Gee",0,4,14,6,0.428571428571429
"54","Alonzo Gee",0,5,1,1,1
"55","Amar'e Stoudemire",0,1,26,13,0.5
"56","Amar'e Stoudemire",0,2,10,7,0.7
"57","Amar'e Stoudemire",0,3,12,8,0.666666666666667
"58","Amar'e Stoudemire",0,4,5,4,0.8
"59","Amir Johnson",0,1,4,1,0.25
"60","Amir Johnson",0,2,12,6,0.5
"61","Amir Johnson",0,3,3,0,0
"62","Amir Johnson",0,4,7,5,0.714285714285714
"63","Amir Johnson",0,5,1,1,1
"64","Anderson Varejao",0,1,1,0,0
"65","Anderson Varejao",0,2,3,0,0
"66","Andre Drummond",0,1,18,9,0.5
"67","Andre Drummond",0,2,16,9,0.5625
"68","Andre Drummond",0,3,11,5,0.454545454545455
"69","Andre Drummond",0,4,26,16,0.615384615384615
"70","Andre Drummond",0,5,3,2,0.666666666666667
"71","Andre Iguodala",0,1,23,6,0.260869565217391
"72","Andre Iguodala",0,2,8,5,0.625
"73","Andre Iguodala",0,3,21,13,0.619047619047619
"74","Andre Iguodala",0,4,9,3,0.333333333333333
"75","Andre Miller",0,1,20,7,0.35
"76","Andre Miller",0,2,4,2,0.5
"77","Andre Miller",0,3,11,5,0.454545454545455
"78","Andre Miller",0,4,3,2,0.666666666666667
"79","Andre Roberson",0,1,3,0,0
"80","Andre Roberson",0,2,9,4,0.444444444444444
"81","Andre Roberson",0,3,2,0,0
"82","Andre Roberson",0,4,3,1,0.333333333333333
"83","Andrea Bargnani",0,1,4,2,0.5
"84","Andrea Bargnani",0,2,13,10,0.769230769230769
"85","Andrea Bargnani",0,3,5,1,0.2
"86","Andrea Bargnani",0,4,6,0,0
"87","Andrea Bargnani",0,5,2,0,0
"88","Andrew Bogut",0,2,9,5,0.555555555555556
"89","Andrew Bogut",0,4,2,0,0
"90","Andrew Nicholson",0,1,5,2,0.4
"91","Andrew Nicholson",0,2,3,2,0.666666666666667
