"","PLAYER_NAME","Type","Shot_Quantity","Made_Quantity","Percentage"
"1","Aaron Brooks","Driving Bank shot",1,1,1
"2","Aaron Brooks","Driving Finger Roll Layup Shot",5,3,0.6
"3","Aaron Brooks","Driving Hook Shot",2,1,0.5
"4","Aaron Brooks","Driving Jump shot",4,2,0.5
"5","Aaron Brooks","Driving Layup Shot",85,63,0.741176470588235
"6","Aaron Brooks","Driving Reverse Layup Shot",5,2,0.4
"7","Aaron Brooks","Fadeaway Bank shot",1,0,0
"8","Aaron Brooks","Fadeaway Jump Shot",13,7,0.538461538461538
"9","Aaron Brooks","Finger Roll Layup Shot",1,1,1
"10","Aaron Brooks","Floating Jump shot",49,19,0.387755102040816
"11","Aaron Brooks","Hook Shot",4,1,0.25
"12","Aaron Brooks","Jump Bank Shot",7,4,0.571428571428571
"13","Aaron Brooks","Jump Shot",415,140,0.337349397590361
"14","Aaron Brooks","Layup Shot",75,22,0.293333333333333
"15","Aaron Brooks","Pullup Jump shot",22,15,0.681818181818182
"16","Aaron Brooks","Putback Layup Shot",1,0,0
"17","Aaron Brooks","Reverse Layup Shot",6,5,0.833333333333333
"18","Aaron Brooks","Running Bank shot",13,12,0.923076923076923
"19","Aaron Brooks","Running Finger Roll Layup Shot",1,1,1
"20","Aaron Brooks","Running Hook Shot",4,2,0.5
"21","Aaron Brooks","Running Jump Shot",28,14,0.5
"22","Aaron Brooks","Running Layup Shot",49,15,0.306122448979592
"23","Aaron Brooks","Running Reverse Layup Shot",12,8,0.666666666666667
"24","Aaron Brooks","Running Tip Shot",1,0,0
"25","Aaron Brooks","Step Back Jump shot",9,5,0.555555555555556
"26","Aaron Brooks","Tip Shot",2,0,0
"27","Aaron Brooks","Turnaround Jump Shot",2,1,0.5
"28","Aaron Gordon","Alley Oop Dunk Shot",6,6,1
"29","Aaron Gordon","Alley Oop Layup shot",3,3,1
"30","Aaron Gordon","Driving Finger Roll Layup Shot",1,1,1
"31","Aaron Gordon","Driving Jump shot",6,1,0.166666666666667
"32","Aaron Gordon","Driving Layup Shot",12,7,0.583333333333333
"33","Aaron Gordon","Driving Slam Dunk Shot",1,1,1
"34","Aaron Gordon","Dunk Shot",11,8,0.727272727272727
"35","Aaron Gordon","Fadeaway Jump Shot",5,0,0
"36","Aaron Gordon","Finger Roll Layup Shot",1,1,1
"37","Aaron Gordon","Hook Shot",3,1,0.333333333333333
"38","Aaron Gordon","Jump Bank Shot",2,2,1
"39","Aaron Gordon","Jump Hook Shot",2,1,0.5
"40","Aaron Gordon","Jump Shot",79,20,0.253164556962025
"41","Aaron Gordon","Layup Shot",38,19,0.5
"42","Aaron Gordon","Pullup Jump shot",2,0,0
"43","Aaron Gordon","Putback Dunk Shot",1,1,1
"44","Aaron Gordon","Reverse Dunk Shot",1,1,1
"45","Aaron Gordon","Running Bank shot",1,1,1
"46","Aaron Gordon","Running Hook Shot",1,1,1
"47","Aaron Gordon","Running Jump Shot",3,2,0.666666666666667
"48","Aaron Gordon","Running Layup Shot",2,1,0.5
"49","Aaron Gordon","Running Slam Dunk Shot",1,0,0
"50","Aaron Gordon","Slam Dunk Shot",5,5,1
"51","Aaron Gordon","Step Back Jump shot",3,1,0.333333333333333
"52","Aaron Gordon","Tip Shot",15,8,0.533333333333333
"53","Aaron Gordon","Turnaround Fadeaway shot",1,1,1
"54","Aaron Gordon","Turnaround Hook Shot",1,0,0
"55","Aaron Gordon","Turnaround Jump Shot",1,0,0
"56","Adreian Payne","Driving Dunk Shot",2,2,1
"57","Adreian Payne","Driving Hook Shot",2,0,0
"58","Adreian Payne","Driving Layup Shot",8,4,0.5
"59","Adreian Payne","Driving Slam Dunk Shot",2,2,1
"60","Adreian Payne","Dunk Shot",5,3,0.6
"61","Adreian Payne","Fadeaway Jump Shot",2,1,0.5
"62","Adreian Payne","Floating Jump shot",2,0,0
"63","Adreian Payne","Hook Shot",3,3,1
"64","Adreian Payne","Jump Bank Shot",2,2,1
"65","Adreian Payne","Jump Hook Shot",4,2,0.5
"66","Adreian Payne","Jump Shot",119,39,0.327731092436975
"67","Adreian Payne","Layup Shot",20,8,0.4
"68","Adreian Payne","Pullup Jump shot",1,1,1
"69","Adreian Payne","Putback Dunk Shot",4,2,0.5
"70","Adreian Payne","Putback Slam Dunk Shot",2,1,0.5
"71","Adreian Payne","Reverse Dunk Shot",1,1,1
"72","Adreian Payne","Reverse Layup Shot",3,2,0.666666666666667
"73","Adreian Payne","Running Hook Shot",4,2,0.5
"74","Adreian Payne","Running Jump Shot",8,3,0.375
