"","PLAYER_NAME","Type","PERIOD","Shot_Quantity","Made_Quantity","Percentage"
"1","Aaron Brooks","Driving Finger Roll Layup Shot",1,1,1,1
"2","Aaron Brooks","Driving Hook Shot",1,1,1,1
"3","Aaron Brooks","Driving Jump shot",1,1,1,1
"4","Aaron Brooks","Driving Layup Shot",1,18,13,0.722222222222222
"5","Aaron Brooks","Fadeaway Jump Shot",1,3,2,0.666666666666667
"6","Aaron Brooks","Floating Jump shot",1,10,4,0.4
"7","Aaron Brooks","Jump Shot",1,83,29,0.349397590361446
"8","Aaron Brooks","Layup Shot",1,11,4,0.363636363636364
"9","Aaron Brooks","Pullup Jump shot",1,5,3,0.6
"10","Aaron Brooks","Running Bank shot",1,3,3,1
"11","Aaron Brooks","Running Hook Shot",1,2,1,0.5
"12","Aaron Brooks","Running Jump Shot",1,7,2,0.285714285714286
"13","Aaron Brooks","Running Layup Shot",1,9,2,0.222222222222222
"14","Aaron Brooks","Running Reverse Layup Shot",1,1,1,1
"15","Aaron Brooks","Step Back Jump shot",1,1,1,1
"16","Aaron Brooks","Driving Finger Roll Layup Shot",2,2,2,1
"17","Aaron Brooks","Driving Jump shot",2,1,0,0
"18","Aaron Brooks","Driving Layup Shot",2,22,18,0.818181818181818
"19","Aaron Brooks","Driving Reverse Layup Shot",2,3,1,0.333333333333333
"20","Aaron Brooks","Fadeaway Jump Shot",2,6,3,0.5
"21","Aaron Brooks","Floating Jump shot",2,13,6,0.461538461538462
"22","Aaron Brooks","Hook Shot",2,1,0,0
"23","Aaron Brooks","Jump Bank Shot",2,2,2,1
"24","Aaron Brooks","Jump Shot",2,107,34,0.317757009345794
"25","Aaron Brooks","Layup Shot",2,22,9,0.409090909090909
"26","Aaron Brooks","Pullup Jump shot",2,3,0,0
"27","Aaron Brooks","Reverse Layup Shot",2,2,2,1
"28","Aaron Brooks","Running Bank shot",2,3,3,1
"29","Aaron Brooks","Running Finger Roll Layup Shot",2,1,1,1
"30","Aaron Brooks","Running Hook Shot",2,1,1,1
"31","Aaron Brooks","Running Jump Shot",2,6,4,0.666666666666667
"32","Aaron Brooks","Running Layup Shot",2,10,4,0.4
"33","Aaron Brooks","Running Reverse Layup Shot",2,4,2,0.5
"34","Aaron Brooks","Step Back Jump shot",2,5,2,0.4
"35","Aaron Brooks","Tip Shot",2,1,0,0
"36","Aaron Brooks","Turnaround Jump Shot",2,1,1,1
"37","Aaron Brooks","Driving Bank shot",3,1,1,1
"38","Aaron Brooks","Driving Finger Roll Layup Shot",3,1,0,0
"39","Aaron Brooks","Driving Hook Shot",3,1,0,0
"40","Aaron Brooks","Driving Layup Shot",3,19,11,0.578947368421053
"41","Aaron Brooks","Driving Reverse Layup Shot",3,1,1,1
"42","Aaron Brooks","Fadeaway Bank shot",3,1,0,0
"43","Aaron Brooks","Fadeaway Jump Shot",3,1,0,0
"44","Aaron Brooks","Floating Jump shot",3,7,3,0.428571428571429
"45","Aaron Brooks","Hook Shot",3,2,0,0
"46","Aaron Brooks","Jump Bank Shot",3,2,1,0.5
"47","Aaron Brooks","Jump Shot",3,76,24,0.315789473684211
"48","Aaron Brooks","Layup Shot",3,17,3,0.176470588235294
"49","Aaron Brooks","Pullup Jump shot",3,6,5,0.833333333333333
"50","Aaron Brooks","Reverse Layup Shot",3,1,1,1
"51","Aaron Brooks","Running Bank shot",3,2,2,1
"52","Aaron Brooks","Running Jump Shot",3,8,5,0.625
"53","Aaron Brooks","Running Layup Shot",3,6,1,0.166666666666667
"54","Aaron Brooks","Running Reverse Layup Shot",3,5,3,0.6
"55","Aaron Brooks","Tip Shot",3,1,0,0
"56","Aaron Brooks","Driving Finger Roll Layup Shot",4,1,0,0
"57","Aaron Brooks","Driving Jump shot",4,2,1,0.5
"58","Aaron Brooks","Driving Layup Shot",4,25,20,0.8
"59","Aaron Brooks","Driving Reverse Layup Shot",4,1,0,0
"60","Aaron Brooks","Fadeaway Jump Shot",4,3,2,0.666666666666667
"61","Aaron Brooks","Finger Roll Layup Shot",4,1,1,1
"62","Aaron Brooks","Floating Jump shot",4,18,6,0.333333333333333
"63","Aaron Brooks","Hook Shot",4,1,1,1
"64","Aaron Brooks","Jump Bank Shot",4,3,1,0.333333333333333
"65","Aaron Brooks","Jump Shot",4,143,51,0.356643356643357
"66","Aaron Brooks","Layup Shot",4,23,5,0.217391304347826
"67","Aaron Brooks","Pullup Jump shot",4,8,7,0.875
"68","Aaron Brooks","Putback Layup Shot",4,1,0,0
"69","Aaron Brooks","Reverse Layup Shot",4,3,2,0.666666666666667
"70","Aaron Brooks","Running Bank shot",4,5,4,0.8
"71","Aaron Brooks","Running Hook Shot",4,1,0,0
"72","Aaron Brooks","Running Jump Shot",4,7,3,0.428571428571429
"73","Aaron Brooks","Running Layup Shot",4,24,8,0.333333333333333
"74","Aaron Brooks","Running Reverse Layup Shot",4,2,2,1
"75","Aaron Brooks","Running Tip Shot",4,1,0,0
"76","Aaron Brooks","Step Back Jump shot",4,3,2,0.666666666666667
"77","Aaron Brooks","Turnaround Jump Shot",4,1,0,0
"78","Aaron Brooks","Driving Layup Shot",5,1,1,1
"79","Aaron Brooks","Floating Jump shot",5,1,0,0
"80","Aaron Brooks","Jump Shot",5,4,1,0.25
"81","Aaron Brooks","Layup Shot",5,1,1,1
"82","Aaron Brooks","Jump Shot",6,2,1,0.5
"83","Aaron Brooks","Layup Shot",6,1,0,0
"84","Aaron Gordon","Alley Oop Dunk Shot",1,3,3,1
"85","Aaron Gordon","Alley Oop Layup shot",1,1,1,1
"86","Aaron Gordon","Driving Jump shot",1,1,0,0
"87","Aaron Gordon","Driving Layup Shot",1,5,4,0.8
"88","Aaron Gordon","Dunk Shot",1,1,1,1
"89","Aaron Gordon","Fadeaway Jump Shot",1,1,0,0
"90","Aaron Gordon","Hook Shot",1,1,0,0
"91","Aaron Gordon","Jump Bank Shot",1,1,1,1
"92","Aaron Gordon","Jump Shot",1,17,4,0.235294117647059
"93","Aaron Gordon","Layup Shot",1,11,5,0.454545454545455
"94","Aaron Gordon","Pullup Jump shot",1,1,0,0
"95","Aaron Gordon","Reverse Dunk Shot",1,1,1,1
"96","Aaron Gordon","Running Layup Shot",1,1,1,1
"97","Aaron Gordon","Slam Dunk Shot",1,2,2,1
"98","Aaron Gordon","Tip Shot",1,2,2,1
"99","Aaron Gordon","Turnaround Hook Shot",1,1,0,0
"100","Aaron Gordon","Turnaround Jump Shot",1,1,0,0
"101","Aaron Gordon","Alley Oop Dunk Shot",2,2,2,1
"102","Aaron Gordon","Alley Oop Layup shot",2,1,1,1
"103","Aaron Gordon","Driving Jump shot",2,2,0,0
"104","Aaron Gordon","Driving Layup Shot",2,3,1,0.333333333333333
"105","Aaron Gordon","Dunk Shot",2,4,2,0.5
"106","Aaron Gordon","Fadeaway Jump Shot",2,2,0,0
"107","Aaron Gordon","Jump Bank Shot",2,1,1,1
"108","Aaron Gordon","Jump Hook Shot",2,1,1,1
"109","Aaron Gordon","Jump Shot",2,28,5,0.178571428571429
"110","Aaron Gordon","Layup Shot",2,10,4,0.4
"111","Aaron Gordon","Running Hook Shot",2,1,1,1
"112","Aaron Gordon","Running Jump Shot",2,3,2,0.666666666666667
"113","Aaron Gordon","Running Slam Dunk Shot",2,1,0,0
"114","Aaron Gordon","Slam Dunk Shot",2,1,1,1
"115","Aaron Gordon","Step Back Jump shot",2,1,0,0
"116","Aaron Gordon","Tip Shot",2,4,2,0.5
"117","Aaron Gordon","Turnaround Fadeaway shot",2,1,1,1
"118","Aaron Gordon","Alley Oop Layup shot",3,1,1,1
"119","Aaron Gordon","Driving Finger Roll Layup Shot",3,1,1,1
"120","Aaron Gordon","Driving Jump shot",3,1,0,0
"121","Aaron Gordon","Driving Layup Shot",3,1,1,1
"122","Aaron Gordon","Driving Slam Dunk Shot",3,1,1,1
"123","Aaron Gordon","Dunk Shot",3,2,1,0.5
"124","Aaron Gordon","Fadeaway Jump Shot",3,2,0,0
"125","Aaron Gordon","Hook Shot",3,1,0,0
"126","Aaron Gordon","Jump Shot",3,16,5,0.3125
"127","Aaron Gordon","Layup Shot",3,7,5,0.714285714285714
