"","x"
"1","Andrew Bogut"
"2","Marvin Williams"
"3","Chris Paul"
"4","Raymond Felton"
"5","Charlie Villanueva"
"6","Channing Frye"
"7","Deron Williams"
"8","Gerald Green"
"9","Nate Robinson"
"10","Jarrett Jack"
"11","Ian Mahinmi"
"12","David Lee"
"13","Brandon Bass"
"14","CJ Miles"
"15","Ersan Ilyasova"
"16","Monta Ellis"
"17","Lou Williams"
"18","Amir Johnson"
"19","Marcin Gortat"
"20","Ronnie Price"
"21","Jose Calderon"
"22","Alan Anderson"
"23","Charles Hayes"
"24","Tim Duncan"
"25","Vince Carter"
"26","Dirk Nowitzki"
"27","Paul Pierce"
"28","Nazr Mohammed"
"29","Elton Brand"
"30","Andre Miller"
"31","Jason Terry"
"32","Manu Ginobili"
"33","Andrea Bargnani"
"34","LaMarcus Aldridge"
"35","Randy Foye"
"36","Rudy Gay"
"37","JJ Redick"
"38","Thabo Sefolosha"
"39","Rajon Rondo"
"40","Kyle Lowry"
"41","Jordan Farmar"
"42","Steve Novak"
"43","PJ Tucker"
"44","Paul Millsap"
"45","Ryan Hollins"
"46","Lou Amundson"
"47","Jose Juan Barea"
"48","Kevin Durant"
"49","Al Horford"
"50","Mike Conley"
"51","Jeff Green"
"52","Corey Brewer"
"53","Brandan Wright"
"54","Joakim Noah"
"55","Spencer Hawes"
"56","Thaddeus Young"
"57","Rodney Stuckey"
"58","Nick Young"
"59","Marco Belinelli"
"60","Jason Smith"
"61","Jared Dudley"
"62","Aaron Brooks"
"63","Arron Afflalo"
"64","Tiago Splitter"
"65","Carl Landry"
"66","Josh McRoberts"
"67","Marc Gasol"
"68","Ramon Sessions"
"69","Joel Anthony"
"70","CJ Watson"
"71","Anthony Tolliver"
"72","Michael Beasley"
"73","O.J. Mayo"
"74","Derrick Rose"
"75","Russell Westbrook"
"76","Kevin Love"
"77","Danilo Gallinari"
"78","Eric Gordon"
"79","D.J. Augustin"
"80","Brook Lopez"
"81","Jerryd Bayless"
"82","Jason Thompson"
"83","Brandon Rush"
"84","Robin Lopez"
"85","Marreese Speights"
"86","Roy Hibbert"
"87","JaVale McGee"
"88","JJ Hickson"
"89","Alexis Ajinca"
"90","Ryan Anderson"
"91","Courtney Lee"
"92","Kosta Koufos"
"93","Serge Ibaka"
"94","Nicolas Batum"
"95","George Hill"
"96","Darrell Arthur"
"97","Nikola Pekovic"
"98","Mario Chalmers"
"99","DeAndre Jordan"
"100","Omer Asik"
"101","Luc Mbah a Moute"
"102","Goran Dragic"
"103","Anthony Morrow"
"104","Blake Griffin"
"105","James Harden"
"106","Tyreke Evans"
"107","Ricky Rubio"
"108","Stephen Curry"
"109","Jordan Hill"
"110","DeMar DeRozan"
"111","Brandon Jennings"
"112","Gerald Henderson"
"113","Tyler Hansbrough"
"114","James Johnson"
"115","Jrue Holiday"
"116","Ty Lawson"
"117","Jeff Teague"
"118","Darren Collison"
"119","Omri Casspi"
"120","Taj Gibson"
"121","DeMarre Carroll"
"122","Wayne Ellington"
"123","Toney Douglas"
"124","Jeff Ayres"
"125","Dante Cunningham"
"126","DeJuan Blair"
"127","Jonas Jerebko"
"128","Jodie Meeks"
"129","Patrick Beverley"
"130","Marcus Thornton"
"131","Chase Budinger"
"132","Danny Green"
"133","Patty Mills"
"134","Garrett Temple"
"135","Wesley Matthews"
"136","Alonzo Gee"
"137","John Wall"
"138","Evan Turner"
"139","Derrick Favors"
"140","Wesley Johnson"
"141","DeMarcus Cousins"
"142","Greg Monroe"
"143","Al-Farouq Aminu"
"144","Gordon Hayward"
"145","Paul George"
"146","Cole Aldrich"
"147","Ed Davis"
"148","Patrick Patterson"
"149","Luke Babbitt"
"150","Kevin Seraphin"
"151","Eric Bledsoe"
"152","Avery Bradley"
"153","Elliot Williams"
"154","Trevor Booker"
"155","Greivis Vasquez"
"156","Hassan Whiteside"
"157","Lance Stephenson"
"158","Jeremy Evans"
"159","Donald Sloan"
"160","Timofey Mozgov"
"161","Gary Neal"
"162","Jeremy Lin"
"163","Ish Smith"
"164","Elijah Millsap"
"165","Lance Thomas"
"166","Kyrie Irving"
"167","Derrick Williams"
"168","Enes Kanter"
"169","Tristan Thompson"
"170","Jonas Valanciunas"
"171","Bismack Biyombo"
"172","Brandon Knight"
"173","Kemba Walker"
"174","Jimmer Fredette"
"175","Klay Thompson"
"176","Alec Burks"
"177","Markieff Morris"
"178","Marcus Morris"
"179","Kawhi Leonard"
"180","Nikola Vucevic"
"181","Iman Shumpert"
"182","Tobias Harris"
"183","Donatas Motiejunas"
"184","Kenneth Faried"
"185","Nikola Mirotic"
"186","Reggie Jackson"
"187","Jordan Hamilton"
"188","Norris Cole"
